case_no,date,country_or_us_state,locality,entry_verbatim
66,1965/12/20,MINNESOTA,HERMANN,"1965/12/20 MINNESOTA, nr HERMANN"
67,1966,CANADA,HAMILTON,"1966 CANADA, HAMILTON, ONTARIO"
68,1966/04,NEW YORK,SINCLAIRVILLE,"1966/04 NEW YORK, nr SINCLAIRVILLE"
69,1966/04/01,OKLAHOMA,TANGIER,"1966/04/01 OKLAHOMA, TANGIER"
70,1966/04/17,OHIO,AKRON,"1966/04/17 OHIO, nr. AKRON"
71,1966/04/25,PENNSYLVANIA,TOWANDA,"1966/04/25 PENNSYLVANIA, nr TOWANDA"
72,1966/04/28,ENGLAND,SAWTRY,"1966/04/28 ENGLAND, SAWTRY"
73,1967,SOUTH DAKOTA,PIERRE,"1967 SOUTH DAKOTA, PIERRE"
74,1968/01/02,CANADA,WHITEHORSE,"1968/01/02 CANADA, WHITEHORSE, YUKON"
75,1968/02/19,CANADA,BENGOUGH,"1968/02/19 CANADA, BENGOUGH, SASKATCHEWAN"
76,1968/03/19,OHIO,BEALLSVILLE,"1968/03/19 OHIO, BEALLSVILLE"
77,1968/04/04,WISCONSIN,COCHRANE,"1968/04/04 WISCONSIN, nr. COCHRANE"
78,1968/06/25,ARGENTINA,SAN LORENZO,"1968/06/25 ARGENTINA, SAN LORENZO"
79,1968/07/01,ARGENTINA,RICARDONE,"1968/07/01 ARGENTINA, RICARDONE"
80,1968/08,FRANCE,COTE D'OR REGION,"1968/08 FRANCE, COTE D'OR REGION"
81,1968/08,NEW YORK,CATSKILL MOUNTAINS,"1968/08 NEW YORK, CATSKILL MOUNTAINS, nr. ALBANY"
82,1968/08/29,NEVADA,ELY,"1968/08/29 NEVADA, nr. ELY"
83,1968/09/01,ARGENTINA,MENDOZA,"1968/09/01 ARGENTINA, MENDOZA"
84,1968/09/09,BRAZIL,LINS,"1968/09/09 BRAZIL, LINS"
85,1968/11/01,PERU,,1968/11/01 PERU
86,1969/2-4,ENGLAND,RAF FAIRFORD,"1969/2-4 ENGLAND, nr. RAF FAIRFORD, WILTSHIRE"
87,1969/02/06,BRAZIL,PIRASSUNUNGA,"1969/02/06 BRAZIL, PIRASSUNUNGA"
88,1969/03/04,MISSOURI,ATLANTA,"1969/03/04 MISSOURI, nr. ATLANTA"
89,1969/03/06,MISSOURI,GLENWOOD,"1969/03/06 MISSOURI, GLENWOOD"
90,1969/03/11,BRAZIL,CAMPINAS,"1969/03/11 BRAZIL, CAMPINAS, SAO PAULO"
91,1969/06/19,ENGLAND,DOCKING,"1969/06/19 ENGLAND, DOCKING"
92,1970/08/30,BRAZIL,ITATIAIA,"1970/08/30 BRAZIL, ITATIAIA"
93,70/8 or 9,AUSTRALIA,SYDNEY,"70/8 or 9 AUSTRALIA, SYDNEY, NEW SOUTH WALES"
94,1970/10/29,NORWAY,JAEREN,"1970/10/29 NORWAY, JAEREN"
95,1971/08/01,AUSTRALIA,GLADSTONE,"1971/08/01 AUSTRALIA, GLADSTONE, QUEENSLAND"
96,1971/09/20,SWEDEN,ALVBYNVAGEN,"1971/09/20 SWEDEN, nr. ALVBYNVAGEN"
